day,E11.1,G8.3,G15.Markaz,F8.Markaz,I10.2,G8.4,F6.2,GhauriTown,G7.Markaz,F8,G14.3,G6.4,G7.4,GhauriTown.VIPBlock,G8.2,G6.Markaz,E11.4,G9.3,I10.4,E8.2,G11.1,F6,G5.1,GhauriTown.Phase4A,G14.4,E11.2,D12.1,G7.3,G15.1,G11.2,F11.4,I8.4,GhauriTown.Phase4B,GhauriTown.Phase3,F8.2,I10.3,G9,F8.1,G16.2,F7.4,G16.Markaz,G10.1,G16.4,G15,F5,GhauriTown.Phase7,G11.Markaz,I9.2,I8.2,G14.2,F7.Markaz,E11,I9.3,G8.Markaz,D12.Markaz,F6.3,H8.1,F6.1,F10.1,G9.4,I10.1,I9.1,G8,G15.3,H12,G10.Markaz,F10,G7.1,G11.3,G6.1,G5,H9.1,F10.3,D17,F11.3,G16.1,G11.4,F10.2,H13,D12.3,G7,G12,G8.1,H8.4,D12,E7,GhauriTown.Phase5,G9.1,G10.4,G16,H8.3,G6.3,G10,F8.4,G7.2,G10.3,G13.3,GhauriTown.Phase5B,I8.1,H11.1,D12.2,G9.Markaz,H11,G9.2,I8.3,GhauriTown.Phase2,F7.1,E8.1,G6.2,G5.2,H8.2,G11,F10.4,I9.4,G14,F7.2,G10.2,GhauriTown.Phase1,F11.2,G13,G6,F6.4,F10.Markaz,H11.4,F7.3,F7,Shah Allah Ditta,G13.Markaz,F5.2,G13.2,Nurpur Shahan,G15.2,E11.3,G13.4,G16.3,H9.4,F6.Markaz,F11.Markaz,F11,G15.4,F5.1,H10,E9,D12.4,F11.1,G14.1,GhauriTown.Phase2.Extension,F9,E8,F8.3,G13.1,unknown
23,0,0,0,0,416,0,0,516,0,0,0,0,0,308,0,0,0,0,477,0,0,581,0,0,0,0,0,0,0,0,0,301,0,52,369,0,524,700,0,0,0,0,0,202,0,0,0,0,711,0,0,272,0,0,0,785,0,653,0,579,563,629,1728,120,20,0,466,0,0,0,0,0,443,0,0,0,0,595,49,0,2211,0,482,0,585,419,68,660,0,339,0,0,852,365,935,324,0,0,475,0,613,0,81,594,728,116,0,0,0,0,0,3183,466,686,3589,0,1221,113,7,2115,2515,314,0,0,0,2430,480,525,0,3426,846,147,0,1683,0,0,0,0,1125,139,0,0,0,442,1176,186,3,0,0,591,2452,86912
24,0,0,0,0,462,0,0,572,0,0,0,0,0,322,0,0,0,0,540,0,0,632,0,0,0,0,0,0,0,0,0,334,0,64,413,0,595,777,0,0,0,0,0,223,0,0,0,0,786,0,0,309,0,0,0,873,0,719,0,626,658,709,1889,125,22,0,517,0,0,0,0,0,503,0,0,0,1,650,56,0,2425,0,531,0,653,465,74,718,0,392,0,0,936,404,1015,369,0,0,517,0,654,0,88,642,830,115,0,0,0,0,0,3489,515,744,3781,0,1364,129,11,2177,2771,352,0,0,0,2663,522,519,0,3505,939,167,0,1801,0,0,0,0,1272,144,0,0,0,506,1324,220,2,0,0,657,2551,88209
25,0,0,0,0,513,0,0,630,0,0,0,0,0,345,0,0,0,0,602,0,0,692,0,0,0,0,0,0,0,0,0,389,0,72,448,0,653,885,0,0,0,0,0,247,0,0,0,0,866,0,0,333,0,0,0,966,0,784,0,680,725,797,2066,139,26,0,581,0,0,0,0,0,571,0,0,0,1,737,68,0,2654,0,583,0,724,507,79,787,0,436,0,0,1001,431,1098,406,0,0,563,0,724,0,97,698,905,112,0,0,0,0,0,3811,561,808,3951,0,1517,134,14,2277,3053,403,0,0,0,2984,577,525,0,3630,1019,183,0,1898,0,0,0,0,1400,150,0,0,0,554,1454,249,3,0,0,714,2628,88958
26,0,0,0,0,564,0,0,683,0,0,0,0,0,365,0,0,0,0,670,0,0,767,0,0,0,0,0,0,0,0,0,435,0,86,497,0,717,972,0,0,0,0,0,273,0,0,0,0,949,0,0,382,0,0,0,1050,0,844,0,739,777,862,2271,151,34,0,625,0,0,0,0,0,658,0,0,0,1,810,79,0,2849,0,651,0,778,550,95,857,0,489,0,0,1112,455,1194,461,0,0,617,0,806,0,116,767,996,112,0,0,0,0,0,4200,626,875,3961,0,1667,148,15,2379,3292,458,0,0,0,3297,615,543,0,3687,1130,207,0,1940,0,0,0,0,1526,168,0,0,0,597,1594,270,3,0,0,779,2678,89540
27,0,0,0,0,631,0,0,727,0,1,0,0,0,377,0,0,0,0,736,0,0,818,0,0,0,0,0,0,0,0,0,483,0,103,523,0,785,1052,0,0,0,0,0,288,0,0,0,0,1056,0,0,417,0,0,0,1137,0,922,0,795,848,966,2482,169,41,0,668,0,0,0,0,0,720,0,0,0,1,888,84,0,3066,0,703,0,845,596,101,921,0,549,0,0,1234,499,1289,509,0,0,672,0,865,0,121,830,1082,111,0,0,0,0,0,4555,688,954,4021,0,1821,167,15,2423,3516,504,0,0,0,3572,655,550,0,3653,1214,238,0,2005,0,0,0,0,1675,183,0,0,0,627,1728,287,3,0,0,842,2707,89365
28,0,0,0,0,685,0,0,782,0,1,0,0,0,384,0,0,0,0,803,0,0,887,0,0,0,0,0,0,0,0,0,521,0,123,566,0,854,1146,0,0,0,0,0,314,0,0,0,0,1140,0,0,445,0,0,0,1216,0,986,0,846,922,1039,2701,180,46,0,714,0,0,0,0,0,783,0,0,0,1,969,89,0,3318,0,772,0,911,631,104,991,0,603,0,0,1356,528,1385,569,0,0,731,0,930,0,125,891,1169,114,0,0,0,0,0,4953,764,1029,4031,0,1984,183,17,2413,3818,537,0,0,0,3863,705,554,0,3587,1302,261,0,2012,0,0,0,0,1791,192,0,0,0,675,1877,321,3,0,0,914,2628,89153
29,0,0,0,0,730,0,0,837,0,1,0,0,0,411,0,0,0,0,883,0,0,970,0,0,0,0,0,0,0,0,0,558,0,137,584,0,930,1217,0,0,0,0,0,353,0,0,0,0,1217,0,0,491,0,0,0,1295,0,1083,0,928,988,1101,2924,194,45,0,777,0,0,0,0,0,846,0,0,0,1,1067,96,0,3531,0,862,0,1007,685,108,1064,0,642,0,0,1439,544,1489,593,0,0,819,0,978,0,130,954,1291,120,0,0,0,0,0,5321,824,1101,3954,0,2118,191,17,2393,4094,576,0,0,0,4182,749,545,0,3525,1374,288,0,2038,0,0,0,0,1939,202,0,0,0,700,2004,355,2,0,0,998,2561,88363
30,0,0,0,0,780,0,0,887,0,1,0,0,0,428,0,0,0,0,941,0,0,1037,0,0,0,0,0,0,0,0,0,604,0,144,614,0,1045,1281,0,0,0,0,0,368,0,0,0,0,1266,0,0,506,0,0,0,1392,0,1146,0,1002,1046,1210,3124,211,47,0,846,0,0,0,0,0,917,0,0,0,0,1133,99,0,3716,0,914,0,1067,723,121,1121,0,705,0,0,1501,584,1589,637,0,0,875,0,1036,0,139,1040,1375,126,0,0,0,0,0,5632,890,1168,3827,0,2250,196,18,2373,4374,600,0,0,0,4428,788,517,0,3421,1454,309,0,2010,0,0,0,0,2060,200,0,0,0,749,2103,387,1,0,0,1070,2493,87458
31,0,0,0,0,806,0,0,926,0,1,0,0,0,437,0,0,0,0,998,0,0,1111,0,0,0,0,0,0,0,0,0,626,0,165,642,0,1120,1336,0,0,0,0,0,383,0,0,0,0,1331,0,0,546,0,0,0,1469,0,1210,0,1085,1101,1291,3305,216,51,0,924,0,0,0,0,0,991,0,0,0,0,1196,110,0,3867,0,969,0,1150,761,130,1175,0,735,0,0,1596,606,1688,673,0,0,917,0,1128,0,151,1086,1447,133,0,0,0,0,0,5950,968,1219,3746,0,2368,194,17,2350,4683,640,0,0,0,4759,831,497,0,3268,1554,322,0,2010,0,0,0,0,2214,215,0,1,0,806,2187,418,1,0,0,1155,2397,86415
32,0,0,0,0,849,0,0,956,0,1,0,0,0,445,0,0,0,0,1027,0,0,1194,0,0,0,0,0,0,0,0,0,639,0,169,701,0,1188,1381,0,0,0,0,0,408,0,0,0,0,1402,0,0,579,0,0,0,1542,0,1280,0,1153,1172,1362,3514,238,56,0,961,0,0,0,0,0,1057,0,0,0,0,1237,115,0,4082,0,1023,0,1230,806,143,1224,0,782,0,0,1702,631,1795,695,0,0,996,0,1179,0,153,1166,1482,142,0,0,0,0,0,6272,1029,1278,3633,0,2515,197,15,2307,4953,682,0,0,0,5038,882,484,0,3060,1672,345,0,1955,0,0,0,0,2351,243,0,1,0,873,2320,439,1,0,0,1190,2286,85263
