#time,x,y,location_type
-17,73.27300041912021,34.16887416066467,house
-17,73.22429591522696,34.14807620967459,house
-17,73.2659864061841,34.19946909477118,house
-17,73.24902321383084,34.21784306121138,house
-17,73.1994890221748,34.128579495694964,house
-17,73.259805163821,34.19689903980605,house
-17,73.21087997637017,34.144281989043606,house
-17,73.24404247342927,34.205112474188084,house
-17,73.23120976671302,34.17394961537632,house
-17,73.25303445548617,34.15757219179318,house
-17,73.21208794125668,34.178762725935606,house
-17,73.25485713279559,34.17164391360302,house
-17,73.24026347407107,34.17115211448507,house
-17,73.26777915689219,34.19363244190546,house
-17,73.23719668603609,34.21937854892261,house
-17,73.24085732897835,34.200115456858235,house
-17,73.23437714580555,34.15170783178065,house
-17,73.24854436661617,34.20946458501058,house
-17,73.27028761412544,34.2016085291442,house
-17,73.20371593658518,34.138693987432106,house
-17,73.27618353274228,34.19977653413284,house
-17,73.24360903742792,34.18613335321714,house
-17,73.26329346282077,34.17664544174295,house
-17,73.26364316540105,34.18496402877768,house
-17,73.24646392906773,34.16442319923214,house
-17,73.2591109353158,34.17808115080423,house
-17,73.23306764583387,34.156717095050965,house
-17,73.27036686739334,34.170064623314836,house
-17,73.23351960217569,34.20991881128299,house
-17,73.2166157959131,34.138478920907566,house
-17,73.25421014349871,34.20624894921525,house
-17,73.20935526445706,34.140205213506626,house
-17,73.19547033676015,34.12909252920689,house
-17,73.24201574933862,34.20199907471696,house
-17,73.23969047717355,34.193431913327565,house
-16,73.23337563207356,34.20800455050268,house
